model,ap_mean,ap_std,ap_min,recall_at_budget,roc_auc,brier,fit_seconds,predict_us_per_row,model_kb,note
xgboost,0.7935932726089697,0.027832366157576807,0.7538734396487742,0.5761402198550896,0.9707607846178916,0.0006767466291156045,10.372976587000267,6883.679499992468,574.994140625,gradient boosting
lightgbm,0.7901709777237691,0.03708068548834207,0.7393053959298796,0.5809945887871284,0.9731980743251418,0.0006838155217634646,29.86509115600029,4690.717500125174,1781.044921875,"gradient boosting, leaf-wise"
xgboost-weighted,0.7791604619685072,0.03845876860089249,0.7485097254204574,0.5785674043211091,0.9685572636113713,0.000754955974226937,11.370324329000141,6588.314500049819,749.724609375,"gradient boosting, scale_pos_weight"
hist-gradient-boosting,0.762804244947975,0.050318192945739755,0.699638731896758,0.5841997169922566,0.9741113815748337,0.0007010030132997102,4.48185354799989,5645.758000014212,304.875,"sklearn's boosted trees, no extra dependency"
random-forest-balanced,0.7609731906034116,0.07081493089538221,0.6787445056269933,0.5575006878660431,0.9663331633762682,0.0007120153321036066,172.83383047200027,60642.19649988445,5092.732421875,"bagged trees, class weighted"
random-forest,0.7542928241717459,0.08352993648702524,0.63481505272577,0.5459076883770293,0.9671927505654386,0.0006677497133012091,239.0292442330001,61243.21000004329,2951.6123046875,bagged trees
logistic-balanced,0.6544580579421369,0.13991875829662964,0.484060348610711,0.49273318658857745,0.9566778144646351,0.02318229616975207,3.1170078070001637,4707.2804999857,10.634765625,"same, with class weights"
lightgbm-weighted,0.6251623344506532,0.16956930805255344,0.3692789577583868,0.5322429018775467,0.908399757842662,0.002315311112766536,30.659392125000068,4792.990000055397,1761.62109375,"gradient boosting, is_unbalance"
logistic,0.6201525301829327,0.10598987587679873,0.530529469506841,0.45741126528045284,0.9584021620383432,0.0009874471820890617,1.8628969090000282,4695.606999973734,10.625,"linear, interpretable, fast"
amount-rule,0.0029722732786072728,0.0018667679259955073,0.001619136393826254,0.0,0.4980904038347968,0.33589177121348157,0.3102727650000361,3603.0829999731395,17.0224609375,flag the largest amounts; no learning
prior-baseline,0.0020343179014197872,0.0014214997745247144,0.0007239474185559154,0.008837440876275828,0.5,0.0020324636500855774,0.4758534029999737,3533.2980000362113,9.1630859375,predicts the base rate
